"rgn_id","year","area_km2"
6,1959,1
3,1959,1
5,1959,1
4,1959,1
7,1959,1
1,1959,1
2,1959,1
6,1993,5
3,1993,5
5,1993,5
4,1993,5
7,1993,5
1,1993,5
2,1993,5
6,1994,1
3,1994,1
5,1994,1
4,1994,1
7,1994,1
1,1994,1
2,1994,1
6,1997,3
3,1997,3
5,1997,3
4,1997,3
7,1997,3
1,1997,3
2,1997,3
6,1999,1
3,1999,1
5,1999,1
4,1999,1
7,1999,1
1,1999,1
2,1999,1
6,2000,8
3,2000,8
5,2000,8
4,2000,8
7,2000,8
1,2000,8
2,2000,8
6,2001,8
3,2001,8
5,2001,8
4,2001,8
7,2001,8
1,2001,8
2,2001,8
6,2003,1
3,2003,1
5,2003,1
4,2003,1
7,2003,1
1,2003,1
2,2003,1
6,2004,5398
3,2004,5398
5,2004,5398
4,2004,5398
7,2004,5398
1,2004,5398
2,2004,5398
6,2005,10
3,2005,10
5,2005,10
4,2005,10
7,2005,10
1,2005,10
2,2005,10
6,2006,1
3,2006,1
5,2006,1
4,2006,1
7,2006,1
1,2006,1
2,2006,1
6,2007,2
3,2007,2
5,2007,2
4,2007,2
7,2007,2
1,2007,2
2,2007,2
6,2009,68
3,2009,68
5,2009,68
4,2009,68
7,2009,68
1,2009,68
2,2009,68
6,2010,29
3,2010,29
5,2010,29
4,2010,29
7,2010,29
1,2010,29
2,2010,29
