"rgn_id","year","popsum"
1,2005,59347.3927041208
2,2005,54781.0208887732
3,2005,18033.1825173898
4,2005,15121.1927967731
5,2005,174529.163965259
6,2005,415366.156261123
7,2005,33573.4173395242
1,2006,47804.4973521765
2,2006,49163.2198951859
3,2006,16231.5880833607
4,2006,13116.7250455955
5,2006,155526.261431629
6,2006,358889.198714645
7,2006,29369.0802089099
1,2007,47541.4928407299
2,2007,48830.2372688495
3,2007,16156.8734645535
4,2007,12956.1383873368
5,2007,152890.779075876
6,2007,355073.642949436
7,2007,29002.1237475097
1,2008,47278.4867193334
2,2008,48497.2549522878
3,2008,16082.1583804002
4,2008,12795.5521009052
5,2008,150255.289007938
6,2008,351258.116834035
7,2008,28635.1648726338
1,2009,47015.4827702149
2,2009,48164.2688846849
3,2009,16007.4431971535
4,2009,12634.9656992197
5,2009,147619.800022673
6,2009,347442.556872148
7,2009,28268.2069972228
1,2010,57733.4052503821
2,2010,52938.287156265
3,2010,17620.0155638564
4,2010,14208.8938021311
5,2010,159984.616778823
6,2010,393527.42624212
7,2010,31499.7643095471
1,2011,46477.7136239583
2,2011,47489.7287195858
3,2011,15852.2451320125
4,2011,12318.151675382
5,2011,142512.032495583
6,2011,339875.99705921
7,2011,27545.2107552549
1,2012,46202.9502632547
2,2012,47148.1727586205
3,2012,15771.7620689563
4,2012,12161.9245906622
5,2012,140039.759393379
6,2012,336124.980349179
7,2012,27189.1727652897
1,2013,45928.1899171667
2,2013,46806.6145986316
3,2013,15691.2794243187
4,2013,12005.6971210302
5,2013,137567.478702713
6,2013,332373.962264978
7,2013,26833.1347278815
1,2014,45653.4264246445
2,2014,46465.0558897252
3,2014,15610.7956791767
4,2014,11849.4699144616
5,2014,135095.197008362
6,2014,328622.945684737
7,2014,26477.095719896
1,2015,56046.8081587195
2,2015,51048.1741569939
3,2015,17175.0466190305
4,2015,13321.2086779907
5,2015,146341.851802172
6,2015,372057.189799275
7,2015,29488.3033726185
