"rgn_id","habitat","km2"
6,"mangrove",0
3,"mangrove",0
5,"mangrove",0
4,"mangrove",0
7,"mangrove",0
1,"mangrove",0
2,"mangrove",0
6,"soft_bottom",36344.7
3,"soft_bottom",36344.7
5,"soft_bottom",36344.7
4,"soft_bottom",36344.7
7,"soft_bottom",36344.7
1,"soft_bottom",36344.7
2,"soft_bottom",36344.7
6,"saltmarsh",5
3,"saltmarsh",5
5,"saltmarsh",5
4,"saltmarsh",5
7,"saltmarsh",5
1,"saltmarsh",5
2,"saltmarsh",5
6,"seaice_edge",5450.3676470588
3,"seaice_edge",5450.3676470588
5,"seaice_edge",5450.3676470588
4,"seaice_edge",5450.3676470588
7,"seaice_edge",5450.3676470588
1,"seaice_edge",5450.3676470588
2,"seaice_edge",5450.3676470588
6,"seaice_shoreline",3592.2181372549
3,"seaice_shoreline",3592.2181372549
5,"seaice_shoreline",3592.2181372549
4,"seaice_shoreline",3592.2181372549
7,"seaice_shoreline",3592.2181372549
1,"seaice_shoreline",3592.2181372549
2,"seaice_shoreline",3592.2181372549
