"rgn_id","year","usd"
1,2002,547908753.619328
2,2002,557649509.646636
3,2002,187352675.876405
4,2002,142211194.215593
5,2002,1621342510.51203
6,2002,3943962210.11003
7,2002,317764375.019982
1,2004,900375078.465052
2,2004,916382002.819631
3,2004,307875497.751319
4,2004,233694779.111768
5,2004,2664342156.38619
6,2004,6481088796.14321
7,2004,522180239.32283
1,2005,1041097629.04554
2,2005,1059606327.68952
3,2005,355994361.03512
4,2005,270219696.516206
5,2005,3080760861.02754
6,2005,7494039251.73189
7,2005,603793487.954176
1,2006,1257696527.33323
2,2006,1280055934.71305
3,2006,430058487.439413
4,2006,326438524.537844
5,2006,3721708827.64445
6,2006,9053163583.94077
7,2006,729411874.391245
1,2007,1646652245.79966
2,2007,1675926532.22454
3,2007,563058542.960963
4,2007,427393029.92712
5,2007,4872685950.91652
6,2007,11852948484.0805
7,2007,954990075.090704
1,2008,1780514251.89161
2,2008,1812168345.41768
3,2008,608831502.187921
4,2008,462137274.512884
5,2008,5268803296.34242
6,2008,12816515300.4686
7,2008,1032624492.17885
1,2009,1431326742.67785
2,2009,1456772958.86565
3,2009,489429843.058256
4,2009,371504715.053982
5,2009,4235506147.70546
6,2009,10302990317.5509
7,2009,830110205.087928
1,2010,1410963529.82247
2,2010,1436047727.54087
3,2010,482466817.932825
4,2010,366219388.256226
5,2010,4175248408.73902
6,2010,10156411637.3464
7,2010,818300385.362212
1,2011,1658711266.15766
2,2011,1688199938.5993
3,2011,567182021.035726
4,2011,430522981.173296
5,2011,4908370364.08277
6,2011,11939751843.707
7,2011,961983807.244281
