"rgn_id","year","area_km2"
6,1958,1
3,1958,1
5,1958,1
4,1958,1
7,1958,1
1,1958,1
2,1958,1
6,1959,3
3,1959,3
5,1959,3
4,1959,3
7,1959,3
1,1959,3
2,1959,3
6,1961,1
3,1961,1
5,1961,1
4,1961,1
7,1961,1
1,1961,1
2,1961,1
6,1965,2
3,1965,2
5,1965,2
4,1965,2
7,1965,2
1,1965,2
2,1965,2
6,1984,2
3,1984,2
5,1984,2
4,1984,2
7,1984,2
1,1984,2
2,1984,2
6,1993,6
3,1993,6
5,1993,6
4,1993,6
7,1993,6
1,1993,6
2,1993,6
6,1997,1
3,1997,1
5,1997,1
4,1997,1
7,1997,1
1,1997,1
2,1997,1
6,1999,3
3,1999,3
5,1999,3
4,1999,3
7,1999,3
1,1999,3
2,1999,3
6,2000,23
3,2000,23
5,2000,23
4,2000,23
7,2000,23
1,2000,23
2,2000,23
6,2001,32
3,2001,32
5,2001,32
4,2001,32
7,2001,32
1,2001,32
2,2001,32
6,2003,6
3,2003,6
5,2003,6
4,2003,6
7,2003,6
1,2003,6
2,2003,6
6,2004,1539
3,2004,1539
5,2004,1539
4,2004,1539
7,2004,1539
1,2004,1539
2,2004,1539
6,2005,14
3,2005,14
5,2005,14
4,2005,14
7,2005,14
1,2005,14
2,2005,14
6,2006,6
3,2006,6
5,2006,6
4,2006,6
7,2006,6
1,2006,6
2,2006,6
6,2007,2
3,2007,2
5,2007,2
4,2007,2
7,2007,2
1,2007,2
2,2007,2
6,2009,23
3,2009,23
5,2009,23
4,2009,23
7,2009,23
1,2009,23
2,2009,23
6,2010,1
3,2010,1
5,2010,1
4,2010,1
7,2010,1
1,2010,1
2,2010,1
6,2011,1
3,2011,1
5,2011,1
4,2011,1
7,2011,1
1,2011,1
2,2011,1
6,2012,1
3,2012,1
5,2012,1
4,2012,1
7,2012,1
1,2012,1
2,2012,1
